//=============================================================
// 属性伤害调整数据库（复兴后）
//=============================================================
//
// 数据库的格式说明:
// 每一行: 被攻击目标的防御属性
// 每一列: 攻击者的武器属性
// 每个单元格：代表伤害调整百分比的量
//
// 例如：
// 在1级属性相克表中，我们能看到火属性的武器，攻击火属性的怪物，只有25%的伤害
// 而2级属性相克表中，我们能看到火属性的武器，攻击火属性的怪物，伤害为0%(打MISS，怪物完全免疫攻击)
//
//=======================以下内容为正文========================

1	// 1级属性相克表
//无   水   地   火   风   毒   圣   暗   念   不死
  100, 100, 100, 100, 100, 100, 100, 100,  70, 100,  // 无属性
  100,  25, 100, 150,  90, 100,  75, 100, 100, 100,  // 水属性
  100, 100,  25,  90, 150, 100,  75, 100, 100, 100,  // 地属性
  100,  90, 150,  25, 100, 100,  75, 100, 100, 125,  // 火属性
  100, 175,  90, 100,  25, 100,  75, 100, 100, 100,  // 风属性
  100, 100, 125, 125, 125,   0,  75,  50, 100, -25,  // 毒属性
  100, 100, 100, 100, 100, 100,   0, 125, 100, 150,  // 圣属性
  100, 100, 100, 100, 100,  50, 125,   0, 100, -25,  // 暗属性
   70, 100, 100, 100, 100, 100,  75,  75, 125, 100,  // 念属性
  100, 100, 100, 100, 100,  50, 100,   0, 100,   0,  // 不死属性

2	// 2级属性相克表
//无   水   地   火   风   毒   圣   暗   念   不死
  100, 100, 100, 100, 100, 100, 100, 100,  50, 100,  // 无属性
  100,   0, 100, 175,  80, 100,  50,  75, 100, 100,  // 水属性
  100, 100,   0,  80, 175, 100,  50,  75, 100, 100,  // 地属性
  100,  80, 175,   0, 100, 100,  50,  75, 100, 150,  // 火属性
  100, 175,  80, 100,   0, 100,  50,  75, 100, 100,  // 风属性
  100,  75, 125, 125, 125,   0,  50,  25,  75, -50,  // 毒属性
  100, 100, 100, 100, 100, 100, -25, 150, 100, 175,  // 圣属性
  100, 100, 100, 100, 100,  25, 150, -25, 100, -50,  // 暗属性
   50,  75,  75,  75,  75,  75,  50,  50, 150, 125,  // 念属性
  100,  75,  75,  75,  75,  25, 125,   0, 100,   0,  // 不死属性

3	// 3级属性相克表
//无   水   地   火   风   毒   圣   暗   念   不死
  100, 100, 100, 100, 100, 100, 100, 100,   0, 100,  // 无属性
  100, -25, 100, 200,  70, 100,  25,  50, 100, 125,  // 水属性
  100, 100, -25,  70, 200, 100,  25,  50, 100, 100,  // 地属性
  100,  70, 200, -25, 100, 100,  25,  50, 100, 175,  // 火属性
  100, 200,  70, 100, -25, 100,  25,  50, 100, 100,  // 风属性
  100,  50, 100, 100, 100,   0,  25,   0,  50, -75,  // 毒属性
  100, 100, 100, 100, 100, 125, -50, 175, 100, 200,  // 圣属性
  100, 100, 100, 100, 100,   0, 175, -50, 100, -75,  // 暗属性
    0,  50,  50,  50,  50,  50,  25,  25, 175, 150,  // 念属性
  100,  50,  50,  50,  50,   0, 150,   0, 100,   0,  // 不死属性

4	// 4级属性相克表
//无   水   地   火   风   毒   圣   暗   念   不死
  100, 100, 100, 100, 100, 100, 100, 100,   0, 100,  // 无属性
  100, -50, 100, 200,  60,  75,   0,  25, 100, 150,  // 水属性
  100, 100, -50,  60, 200,  75,   0,  25, 100,  50,  // 地属性
  100,  60, 200, -50, 100,  75,   0,  25, 100, 200,  // 火属性
  100, 200,  60, 100, -50,  75,   0,  25, 100, 100,  // 风属性
  100,  25,  75,  75,  75,   0,   0, -25,  25,-100,  // 毒属性
  100,  75,  75,  75,  75, 125,-100, 200, 100, 200,  // 圣属性
  100,  75,  75,  75,  75, -25, 200,-100, 100,-100,  // 暗属性
    0,  25,  25,  25,  25,  25,   0,   0, 200, 175,  // 念属性
  100,  25,  25,  25,  25, -25, 175,   0, 100,   0,  // 不死属性
