//=============================================================
// 红色炸弹能召唤出来的魔物数据库（公共库）
//=============================================================
//
// 数据库的格式说明:
// MobRandomGroupID,MobID,DummyName,Rate
//
//====================== 以下内容为正文 =======================

MOBG_Red_Pouch_Of_Surprise,0,波利,1002
MOBG_Red_Pouch_Of_Surprise,1001,蝎子,214285
MOBG_Red_Pouch_Of_Surprise,1002,波利,1000000
MOBG_Red_Pouch_Of_Surprise,1004,蜂兵,357142
MOBG_Red_Pouch_Of_Surprise,1005,吸血蝙蝠,357142
MOBG_Red_Pouch_Of_Surprise,1007,绿棉虫,428571
MOBG_Red_Pouch_Of_Surprise,1008,虫蛹,71428
MOBG_Red_Pouch_Of_Surprise,1009,秃鹰,357142
MOBG_Red_Pouch_Of_Surprise,1010,树精,357142
MOBG_Red_Pouch_Of_Surprise,1011,苍蝇,357142
MOBG_Red_Pouch_Of_Surprise,1012,罗达蛙,357142
MOBG_Red_Pouch_Of_Surprise,1013,狼,357142
MOBG_Red_Pouch_Of_Surprise,1014,魔菇,357142
MOBG_Red_Pouch_Of_Surprise,1015,腐尸,357142
MOBG_Red_Pouch_Of_Surprise,1016,邪骸弓箭手,214285
MOBG_Red_Pouch_Of_Surprise,1018,克瑞米,357142
MOBG_Red_Pouch_Of_Surprise,1019,大嘴鸟,357142
MOBG_Red_Pouch_Of_Surprise,1020,曼陀罗魔花,357142
MOBG_Red_Pouch_Of_Surprise,1023,兽人战士,214285
MOBG_Red_Pouch_Of_Surprise,1024,森灵,357142
MOBG_Red_Pouch_Of_Surprise,1025,青蛇,357142
MOBG_Red_Pouch_Of_Surprise,1026,僵尸,214285
MOBG_Red_Pouch_Of_Surprise,1028,邪骸士兵,214285
MOBG_Red_Pouch_Of_Surprise,1029,蛇女伊丝,71428
MOBG_Red_Pouch_Of_Surprise,1030,毒蛇,214285
MOBG_Red_Pouch_Of_Surprise,1031,波波利,357142
MOBG_Red_Pouch_Of_Surprise,1032,毕莱特,214285
MOBG_Red_Pouch_Of_Surprise,1033,长老树精,214285
MOBG_Red_Pouch_Of_Surprise,1034,达拉蛙,214285
MOBG_Red_Pouch_Of_Surprise,1035,赤苍蝇,71428
MOBG_Red_Pouch_Of_Surprise,1036,绿腐尸,214285
MOBG_Red_Pouch_Of_Surprise,1037,黑蛇,71428
MOBG_Red_Pouch_Of_Surprise,1040,巨石怪,214285
MOBG_Red_Pouch_Of_Surprise,1041,木乃伊,214285
MOBG_Red_Pouch_Of_Surprise,1042,绿苍蝇,357142
MOBG_Red_Pouch_Of_Surprise,1044,人鱼,214285
